,claim,expected determination,expected relevant evidence
0,Global warming is driving polar bears toward extinction,0,"['Environmental impacts include the extinction or relocation of many species as their ecosystems change, most immediately the environments of coral reefs, mountains, and the Arctic.', 'Rising global temperatures, caused by the greenhouse effect, contribute to habitat destruction, endangering various species, such as the polar bear.']"
1,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",0,"[""The current consensus of the scientific community is that the aerosols and dust released into the upper atmosphere causes cooler temperatures by preventing the sun's energy from reaching the ground."", 'The Little Ice Age caused crop failures and famines in Europe.', 'The persistently cold, wet weather caused great hardship, was primarily responsible for the Great Famine of 1315–1317, and strongly contributed to the weakened immunity and malnutrition leading up to the Black Death (1348–1350).']"
2,The polar bear population has been growing.,1,"['In two areas where harvest levels have been increased based on increased sightings, science-based studies have indicated declining populations, and a third area is considered data-deficient.', 'Of the 19 recognized polar bear subpopulations, one is in decline, two are increasing, seven are stable, and nine have insufficient data, as of 2017.']"
3,Ironic' study finds more CO2 has slightly cooled the planet,1,"[""This increase of CO 2 and other long-lived greenhouse gases in Earth's atmosphere has produced the current episode of global warming.""]"
4,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,1,"['More recently, anthropogenic activities have steadily increased the carbon dioxide content of the atmosphere; about 30–40% of the added CO2 is absorbed by the oceans, forming carbonic acid and lowering the pH (now below 8.1) through a process called ocean acidification.']"
5,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,0,"['Most carbon dioxide from human activities is released from burning coal and other fossil fuels.', 'Since the Industrial Revolution anthropogenic emissions – primarily from use of fossil fuels and deforestation – have rapidly increased its concentration in the atmosphere, leading to global warming.', 'The main sources of greenhouse gases due to human activity are: burning of fossil fuels and deforestation leading to higher carbon dioxide concentrations in the air.', 'At present, the primary source of CO 2 emissions is the burning of coal, natural gas, and petroleum for electricity and heat.']"
6,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,0,"['These temperatures have caused the most severe and widespread coral bleaching ever recorded in the Great Barrier reef.', 'A March 2016 report stated that coral bleaching was more widespread than previously thought, seriously affecting the northern parts of the reef as a result of warming ocean temperatures.', 'Other environmental pressures on the reef and its ecosystem include runoff, climate change accompanied by mass coral bleaching, dumping of dredging sludge and cyclic population outbreaks of the crown-of-thorns starfish.', 'Mass coral bleaching events due to elevated ocean temperatures occurred in the summers of 1998, 2002 and 2006, and coral bleaching is expected to become an annual occurrence.']"
7,it’s not a pollutant that threatens human civilization.,1,"['An air pollutant is a material in the air that can have adverse effects on humans and the ecosystem.', 'The report warned that the pollution crisis was exceeding ""the envelope on the amount of pollution the Earth can carry"" and “threatens the continuing survival of human societies”.']"
8,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",1,"['At very high concentrations (100 times atmospheric concentration, or greater), carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm (1%) or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse.']"
9,"Sea level rise has been slow and a constant, pre-dating industrialization",1,"['Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410\xa0ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.', 'Data collected by the Commonwealth Scientific and Industrial Research Organisation (CSIRO) in Australia show the current global mean sea level trend to be 3.2\xa0mm (0.13\xa0in) per year, a doubling of the rate during the 20th century.']"
